04.10.2004|42744
05.10.2004|32259
06.10.2004|43229
07.10.2004|57827
08.10.2004|98556
09.10.2004|44499
10.10.2004|32772
11.10.2004|68427
12.10.2004|357014
13.10.2004|110732
14.10.2004|53340
15.10.2004|57885
16.10.2004|55652
17.10.2004|826730
18.10.2004|239292
19.10.2004|353098
20.10.2004|317971
21.10.2004|34985
22.10.2004|10780
23.10.2004|41414
24.10.2004|54112
25.10.2004|100734
26.10.2004|76804
27.10.2004|56168
28.10.2004|5319
29.10.2004|30675
30.10.2004|244328
31.10.2004|148362
01.11.2004|77651
02.11.2004|334529
03.11.2004|601954
04.11.2004|49592
05.11.2004|10780
06.11.2004|5390
07.11.2004|28931
08.11.2004|20175
09.11.2004|419030
10.11.2004|13634
11.11.2004|25390
12.11.2004|54065
13.11.2004|14145
14.11.2004|30877
15.11.2004|128505
16.11.2004|18810
17.11.2004|21488
18.11.2004|2695
19.11.2004|91941
20.11.2004|14129
21.11.2004|131019
22.11.2004|16293
23.11.2004|16912
24.11.2004|10877
25.11.2004|2699
26.11.2004|47037
27.11.2004|67650
28.11.2004|22363
29.11.2004|73919
30.11.2004|37542
01.12.2004|10744
02.12.2004|32049
03.12.2004|15128
04.12.2004|49504
05.12.2004|8085
06.12.2004|10780
07.12.2004|42101
08.12.2004|13475
09.12.2004|231870
10.12.2004|22178
11.12.2004|403723
12.12.2004|11383
13.12.2004|225410
14.12.2004|299799
15.12.2004|464502
16.12.2004|29263
17.12.2004|2731
18.12.2004|69293
19.12.2004|11290
20.12.2004|35119
21.12.2004|13449
23.12.2004|31945
24.12.2004|19949
25.12.2004|47733
26.12.2004|70995
27.12.2004|67266
28.12.2004|19415
29.12.2004|306030
30.12.2004|35583
31.12.2004|34120
01.01.2005|5390
02.01.2005|71228
03.01.2005|32810
04.01.2005|34122
05.01.2005|24506
06.01.2005|28049
07.01.2005|2724
08.01.2005|14171
09.01.2005|10896
10.01.2005|22678
11.01.2005|12682
12.01.2005|19119
13.01.2005|13436
14.01.2005|5928
15.01.2005|50697
16.01.2005|23261
17.01.2005|146513
18.01.2005|5900
19.01.2005|19375
20.01.2005|5900
21.01.2005|143635
22.01.2005|28431
23.01.2005|5464
24.01.2005|99404
25.01.2005|823218
26.01.2005|35009
27.01.2005|58419
28.01.2005|135055
29.01.2005|21156
30.01.2005|23011
31.01.2005|49333
01.02.2005|540285
02.02.2005|15557
03.02.2005|120095
04.02.2005|451404
05.02.2005|5922
06.02.2005|49798
07.02.2005|21200
08.02.2005|41347
09.02.2005|2727
10.02.2005|47720
11.02.2005|26436
12.02.2005|53070
13.02.2005|5900
14.02.2005|2695
15.02.2005|1499097
16.02.2005|6464
17.02.2005|8058
18.02.2005|21376
19.02.2005|384908
20.02.2005|8187
21.02.2005|3293
22.02.2005|2729
23.02.2005|25232
24.02.2005|16480
25.02.2005|22510
26.02.2005|16032
27.02.2005|13630
28.02.2005|10904
01.03.2005|10904
02.03.2005|74201
03.03.2005|9300
04.03.2005|8172
05.03.2005|2724
06.03.2005|32181
07.03.2005|96449
08.03.2005|45809
09.03.2005|142277
10.03.2005|17683
11.03.2005|24038
12.03.2005|564
13.03.2005|22081
14.03.2005|73331
15.03.2005|5351
16.03.2005|2695
17.03.2005|5390
18.03.2005|110307
20.03.2005|31778
21.03.2005|2724
22.03.2005|3285
23.03.2005|32905
24.03.2005|8085
25.03.2005|5363
26.03.2005|160649
28.03.2005|8595
29.03.2005|2695
31.03.2005|55123
01.04.2005|354485
02.04.2005|13695
03.04.2005|35731
04.04.2005|5390
05.04.2005|45780
06.04.2005|101737
07.04.2005|20406
08.04.2005|35848
09.04.2005|12836
10.04.2005|93949
11.04.2005|36137
12.04.2005|8085
13.04.2005|28691
14.04.2005|8085
15.04.2005|2695
16.04.2005|2695
17.04.2005|564
18.04.2005|2695
20.04.2005|19488
21.04.2005|89401
22.04.2005|5954
23.04.2005|564
24.04.2005|28048
25.04.2005|15382
26.04.2005|1580
27.04.2005|77062
28.04.2005|2695
29.04.2005|2695
30.04.2005|12181
02.05.2005|2695
05.05.2005|2695
07.05.2005|5900
08.05.2005|34652
09.05.2005|156578
10.05.2005|172959
11.05.2005|52510
12.05.2005|41916
13.05.2005|158309
14.05.2005|88228
15.05.2005|791463
16.05.2005|664195
17.05.2005|340560
18.05.2005|86324
19.05.2005|84482
20.05.2005|64089
21.05.2005|5462
22.05.2005|18812
23.05.2005|33136
24.05.2005|29197
25.05.2005|28861
26.05.2005|105745
27.05.2005|232285
28.05.2005|621844
29.05.2005|18408
30.05.2005|58569
31.05.2005|22008
01.06.2005|13931
03.06.2005|14039
04.06.2005|5390
05.06.2005|26714
06.06.2005|97928
07.06.2005|85018
08.06.2005|17612
11.06.2005|30772
13.06.2005|46532
14.06.2005|54899
16.06.2005|52093
17.06.2005|32327
18.06.2005|59150
19.06.2005|5390
20.06.2005|8641
21.06.2005|81478
22.06.2005|216316
23.06.2005|777562
24.06.2005|711273
25.06.2005|938500
26.06.2005|94348
27.06.2005|1730180
28.06.2005|1640169
